"id","service","category","trigger","condition","if_action","else_action","severity","source_doc"
"FS-0251","firecrawl","fc_billing","Free plan: 5 req/min, 1000 credits/month","Retry-After header present (seconds to wait)","Switch to higher plan or wait for billing cycle","Page on-call; do not bypass rate limit by switching keys (will be caught)","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0252","firecrawl","fc_billing","Hobby plan: 50 req/min","free plan: 5 req/min, 1000 credits/month","Bucket calls under 50 req/min (Hobby plan)","Page on-call; do not bypass rate limit by switching keys (will be caught)","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0253","firecrawl","fc_billing","Hobby plan: 50 req/min","hobby plan: 50 req/min","Bucket calls under 250 req/min (Standard plan)","Block scrape; require plan upgrade or wait for billing cycle","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0254","firecrawl","fc_billing","Hobby plan: 50 req/min","standard plan: 250 req/min","Bucket calls under 2500 req/min (Growth plan)","Page on-call; do not bypass rate limit by switching keys (will be caught)","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0255","firecrawl","fc_billing","Hobby plan: 50 req/min","growth plan: 2500 req/min","Count per-team, not per-key (all keys share the same bucket)","Block scrape; require plan upgrade or wait for billing cycle","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0256","firecrawl","fc_billing","Hobby plan: 50 req/min","all API keys on same team share rate limit counters","Wait for in-flight jobs to finish on concurrency 429","Page on-call; do not bypass rate limit by switching keys (will be caught)","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0257","firecrawl","fc_billing","Hobby plan: 50 req/min","concurrency limit hit (in-flight browsers full) - 429","Surface 402 to operator (credits exhausted mid-crawl)","Block scrape; require plan upgrade or wait for billing cycle","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0258","firecrawl","fc_billing","Hobby plan: 50 req/min","credits run out mid-crawl (crawl marked failed)","Honor Retry-After header (seconds to wait)","Page on-call; do not bypass rate limit by switching keys (will be caught)","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0259","firecrawl","fc_billing","Hobby plan: 50 req/min","subscription lapsed - 402 Payment Required","Switch to higher plan or wait for billing cycle","Block scrape; require plan upgrade or wait for billing cycle","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0260","firecrawl","fc_billing","Hobby plan: 50 req/min","Retry-After header present (seconds to wait)","Treat 5 req/min as hard cap (Free plan)","Page on-call; do not bypass rate limit by switching keys (will be caught)","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0261","firecrawl","fc_billing","Standard plan: 250 req/min","free plan: 5 req/min, 1000 credits/month","Bucket calls under 250 req/min (Standard plan)","Page on-call; do not bypass rate limit by switching keys (will be caught)","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0262","firecrawl","fc_billing","Standard plan: 250 req/min","hobby plan: 50 req/min","Bucket calls under 2500 req/min (Growth plan)","Block scrape; require plan upgrade or wait for billing cycle","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0263","firecrawl","fc_billing","Standard plan: 250 req/min","standard plan: 250 req/min","Count per-team, not per-key (all keys share the same bucket)","Page on-call; do not bypass rate limit by switching keys (will be caught)","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0264","firecrawl","fc_billing","Standard plan: 250 req/min","growth plan: 2500 req/min","Wait for in-flight jobs to finish on concurrency 429","Block scrape; require plan upgrade or wait for billing cycle","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0265","firecrawl","fc_errors","SCRAPE_TIMEOUT (408) - page took too long","SCRAPE_TIMEOUT (408) - page took too long, retry with higher timeout","Mark scrape 'success'; release Steel session","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0266","firecrawl","fc_errors","SCRAPE_TIMEOUT (408) - page took too long","SCRAPE_ALL_ENGINES_FAILED (500) - all engines failed, escalate to stealth","Retry on SCRAPE_TIMEOUT with higher timeout (up to 60000ms)","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0267","firecrawl","fc_errors","SCRAPE_TIMEOUT (408) - page took too long","SCRAPE_SSL_ERROR (500) - invalid cert, retry with skipTlsVerification:true","Retry on SCRAPE_SSL_ERROR with skipTlsVerification:true","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0268","firecrawl","fc_errors","SCRAPE_TIMEOUT (408) - page took too long","SCRAPE_SITE_ERROR (500) - unrecoverable, may need manual intervention","Mark SCRAPE_SITE_ERROR unrecoverable; surface to operator","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0269","firecrawl","fc_errors","SCRAPE_TIMEOUT (408) - page took too long","SCRAPE_DNS_RESOLUTION_ERROR (500) - DNS failed, retry later","Retry on SCRAPE_DNS_RESOLUTION_ERROR after delay (transient)","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0270","firecrawl","fc_errors","SCRAPE_TIMEOUT (408) - page took too long","SCRAPE_ACTION_ERROR (500) - browser action failed, fix selector or skip","Fix selector and retry on SCRAPE_ACTION_ERROR","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0271","firecrawl","fc_errors","SCRAPE_TIMEOUT (408) - page took too long","SCRAPE_PDF_PREFETCH_FAILED (500) - PDF fetch failed, retry","Retry SCRAPE_PDF_PREFETCH_FAILED with backoff","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0272","firecrawl","fc_errors","SCRAPE_TIMEOUT (408) - page took too long","SCRAPE_PDF_INSUFFICIENT_TIME_ERROR (500) - not enough time, raise timeout","Raise timeout on SCRAPE_PDF_INSUFFICIENT_TIME_ERROR","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0273","firecrawl","fc_errors","SCRAPE_TIMEOUT (408) - page took too long","SCRAPE_PDF_ANTIBOT_ERROR (500) - PDF blocked by anti-bot, escalate to stealth","Escalate to stealth proxy on SCRAPE_PDF_ANTIBOT_ERROR","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0274","firecrawl","fc_errors","SCRAPE_TIMEOUT (408) - page took too long","SCRAPE_UNSUPPORTED_FILE_ERROR (500) - file > 10MB or unsupported","Skip file on SCRAPE_UNSUPPORTED_FILE_ERROR (>10MB / wrong type)","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0275","firecrawl","fc_errors","SCRAPE_TIMEOUT (408) - page took too long","SCRAPE_ZDR_VIOLATION_ERROR (500) - ZDR + screenshot conflict","Refuse ZDR + screenshot (SCRAPE_ZDR_VIOLATION_ERROR) - drop the screenshot","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0276","firecrawl","fc_errors","SCRAPE_TIMEOUT (408) - page took too long","SCRAPE_LOCKDOWN_CACHE_MISS (404) - no cached data, seed cache first","Seed cache on SCRAPE_LOCKDOWN_CACHE_MISS","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0277","firecrawl","fc_errors","SCRAPE_TIMEOUT (408) - page took too long","UNKNOWN_ERROR (500) - retry per SDK policy with backoff","Retry UNKNOWN_ERROR (500) per SDK policy with backoff","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0278","firecrawl","fc_errors","SCRAPE_ALL_ENGINES_FAILED (500)","SCRAPE_TIMEOUT (408) - page took too long, retry with higher timeout","Retry on SCRAPE_TIMEOUT with higher timeout (up to 60000ms)","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0279","firecrawl","fc_errors","SCRAPE_ALL_ENGINES_FAILED (500)","SCRAPE_ALL_ENGINES_FAILED (500) - all engines failed, escalate to stealth","Retry on SCRAPE_SSL_ERROR with skipTlsVerification:true","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0280","firecrawl","fc_errors","SCRAPE_ALL_ENGINES_FAILED (500)","SCRAPE_SSL_ERROR (500) - invalid cert, retry with skipTlsVerification:true","Mark SCRAPE_SITE_ERROR unrecoverable; surface to operator","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0281","firecrawl","fc_errors","SCRAPE_ALL_ENGINES_FAILED (500)","SCRAPE_SITE_ERROR (500) - unrecoverable, may need manual intervention","Retry on SCRAPE_DNS_RESOLUTION_ERROR after delay (transient)","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0282","firecrawl","fc_errors","SCRAPE_ALL_ENGINES_FAILED (500)","SCRAPE_DNS_RESOLUTION_ERROR (500) - DNS failed, retry later","Fix selector and retry on SCRAPE_ACTION_ERROR","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0283","firecrawl","fc_errors","SCRAPE_ALL_ENGINES_FAILED (500)","SCRAPE_ACTION_ERROR (500) - browser action failed, fix selector or skip","Retry SCRAPE_PDF_PREFETCH_FAILED with backoff","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0284","firecrawl","fc_errors","SCRAPE_ALL_ENGINES_FAILED (500)","SCRAPE_PDF_PREFETCH_FAILED (500) - PDF fetch failed, retry","Raise timeout on SCRAPE_PDF_INSUFFICIENT_TIME_ERROR","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0285","firecrawl","fc_errors","SCRAPE_ALL_ENGINES_FAILED (500)","SCRAPE_PDF_INSUFFICIENT_TIME_ERROR (500) - not enough time, raise timeout","Escalate to stealth proxy on SCRAPE_PDF_ANTIBOT_ERROR","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0286","firecrawl","fc_errors","SCRAPE_ALL_ENGINES_FAILED (500)","SCRAPE_PDF_ANTIBOT_ERROR (500) - PDF blocked by anti-bot, escalate to stealth","Skip file on SCRAPE_UNSUPPORTED_FILE_ERROR (>10MB / wrong type)","Page on-call; capture error code + URL; require human triage for unknown 5xx","high","docs.firecrawl.dev/api-reference/errors"
"FS-0287","steel","st_session","Agent calls client.sessions.create() (Node SDK)","sessions.create returns session.id AND session.websocketUrl","Create session; return session.id, websocketUrl, sessionViewerUrl","Page on-call; capture session id; require human triage if release fails repeatedly","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0288","steel","st_session","Agent calls client.sessions.create() (Node SDK)","sessions.create fails (401 bad key, 403 no perm, 5xx transient)","Set timeout (default 5 min; raise to 30 min / 1 hour / 24 hours per plan)","Do not create new session if concurrent limit hit (wait for in-flight)","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0289","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session.timeout unset (default 5 minutes)","Set inactivityTimeout so a stalled client doesn't keep billing","Page on-call; capture session id; require human triage if release fails repeatedly","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0290","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session.timeout = 1800000 (30 minutes)","Set useProxy:true for residential proxy network (geo + rotation)","Do not create new session if concurrent limit hit (wait for in-flight)","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0291","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session.timeout = 86400000 (24 hours - Enterprise only)","Set solveCaptcha:true for sites with CAPTCHA","Page on-call; capture session id; require human triage if release fails repeatedly","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0292","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session.timeout exceeded plan max (Launch 15m, Scale 1h, Enterprise 24h)","Set custom userAgent (per site policy)","Do not create new session if concurrent limit hit (wait for in-flight)","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0293","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session.inactivityTimeout is set (release on idle)","Pin region (LAX / IAD / auto) for latency / data residency","Page on-call; capture session id; require human triage if release fails repeatedly","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0294","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session.inactivityTimeout > timeout (no effect, timeout wins)","Set isSelenium:true for Selenium-compatible sessions","Do not create new session if concurrent limit hit (wait for in-flight)","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0295","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session.useProxy == true (residential proxy network)","Set persistProfile:true to snapshot user data dir on release","Page on-call; capture session id; require human triage if release fails repeatedly","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0296","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session.solveCaptcha == true (automatic CAPTCHA solving)","Set blockAds:true (faster pages, fewer popups)","Do not create new session if concurrent limit hit (wait for in-flight)","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0297","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session.customUserAgent is set","Release session explicitly when done (best practice, avoids billing leak)","Page on-call; capture session id; require human triage if release fails repeatedly","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0298","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session.region == 'LAX' (pinned)","Release all sessions on shutdown (releaseAll) for cleanup","Do not create new session if concurrent limit hit (wait for in-flight)","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0299","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session.region == 'IAD' (pinned)","Wait for hard-timeout auto-release if not explicit (acceptable fallback)","Page on-call; capture session id; require human triage if release fails repeatedly","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0300","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session.region unset (auto-route to closest)","Wait for inactivity-timeout auto-release (idle client)","Do not create new session if concurrent limit hit (wait for in-flight)","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0301","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session.isSelenium == true (Selenium-compatible)","Connect Playwright via chromium.connectOverCDP(websocketUrl&apiKey=...)","Page on-call; capture session id; require human triage if release fails repeatedly","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0302","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session.persistProfile == true (snapshot after release)","Connect Puppeteer via browserWSEndpoint = wss://connect.steel.dev?apiKey=...&sessionId=...","Do not create new session if concurrent limit hit (wait for in-flight)","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0303","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session.blockAds == true","Connect Python via playwright.chromium.connect_over_cdp(...)","Page on-call; capture session id; require human triage if release fails repeatedly","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0304","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session.release is called explicitly (best practice)","Connect Selenium WebDriver via isSelenium:true","Do not create new session if concurrent limit hit (wait for in-flight)","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0305","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session.releaseAll() is called (cleanup)","Open sessionViewerUrl in operator tab for live debugging","Page on-call; capture session id; require human triage if release fails repeatedly","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0306","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session hard-timeout elapses (auto-release)","Create session; return session.id, websocketUrl, sessionViewerUrl","Do not create new session if concurrent limit hit (wait for in-flight)","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0307","steel","st_session","Agent calls client.sessions.create() (Node SDK)","session inactivity-timeout elapses (auto-release on idle)","Set timeout (default 5 min; raise to 30 min / 1 hour / 24 hours per plan)","Page on-call; capture session id; require human triage if release fails repeatedly","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0308","steel","st_session","Agent calls client.sessions.create() (Node SDK)","Playwright connectOverCDP(websocketUrl&apiKey=...) attaches","Set inactivityTimeout so a stalled client doesn't keep billing","Do not create new session if concurrent limit hit (wait for in-flight)","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0309","steel","st_session","Agent calls client.sessions.create() (Node SDK)","Puppeteer browserWSEndpoint = wss://connect.steel.dev?apiKey=...&sessionId=...","Set useProxy:true for residential proxy network (geo + rotation)","Page on-call; capture session id; require human triage if release fails repeatedly","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0310","steel","st_session","Agent calls client.sessions.create() (Node SDK)","Python connect_over_cdp(...) attaches","Set solveCaptcha:true for sites with CAPTCHA","Do not create new session if concurrent limit hit (wait for in-flight)","high","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/overview/sessions-api/session-lifecycle; docs.steel.dev/llms-full.txt"
"FS-0311","steel","st_profile","Agent creates a profile from a session with persistProfile:true","profile created from session with persistProfile:true","Create profile from session with persistProfile:true (snapshot on release)","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0312","steel","st_profile","Agent creates a profile from a session with persistProfile:true","profile state == 'READY' (after session release)","Wait for profile state == 'READY' (snapshot uploaded)","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0313","steel","st_profile","Agent creates a profile from a session with persistProfile:true","profile state == 'CREATING' (in progress)","Reuse profileId for new sessions (cookies, auth, extensions restored)","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0314","steel","st_profile","Agent creates a profile from a session with persistProfile:true","profile state == 'FAILED' (upload failed - too large, etc.)","Reject profile if size > 300MB (FAILED state - needs smaller profile)","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0315","steel","st_profile","Agent creates a profile from a session with persistProfile:true","new session starts with profileId (cookies / auth / extensions restored)","Auto-delete profile if unused 30 days (TTL)","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0316","steel","st_profile","Agent creates a profile from a session with persistProfile:true","profile file size > 300MB (upload fails - FAILED state)","Use one profile per use case (LinkedIn / GitHub / etc.) - do not share","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0317","steel","st_profile","Agent creates a profile from a session with persistProfile:true","profile file size <= 300MB (upload OK)","Never share profiles across users (cross-tenant leak)","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0318","steel","st_profile","Agent creates a profile from a session with persistProfile:true","profile not used for 30 days (auto-deleted)","Re-login in profile when provider credentials rotate","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0319","steel","st_profile","Agent creates a profile from a session with persistProfile:true","profile shared between agents (anti-pattern)","Create profile from session with persistProfile:true (snapshot on release)","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0320","steel","st_profile","Agent creates a profile from a session with persistProfile:true","profile contains cookies for a different user (cross-user leak)","Wait for profile state == 'READY' (snapshot uploaded)","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0321","steel","st_profile","Agent creates a profile from a session with persistProfile:true","profile credentials rotated at provider (need to re-login)","Reuse profileId for new sessions (cookies, auth, extensions restored)","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0322","steel","st_profile","Profile transitions to READY after session release","profile created from session with persistProfile:true","Wait for profile state == 'READY' (snapshot uploaded)","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0323","steel","st_profile","Profile transitions to READY after session release","profile state == 'READY' (after session release)","Reuse profileId for new sessions (cookies, auth, extensions restored)","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0324","steel","st_profile","Profile transitions to READY after session release","profile state == 'CREATING' (in progress)","Reject profile if size > 300MB (FAILED state - needs smaller profile)","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0325","steel","st_profile","Profile transitions to READY after session release","profile state == 'FAILED' (upload failed - too large, etc.)","Auto-delete profile if unused 30 days (TTL)","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0326","steel","st_profile","Profile transitions to READY after session release","new session starts with profileId (cookies / auth / extensions restored)","Use one profile per use case (LinkedIn / GitHub / etc.) - do not share","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0327","steel","st_profile","Profile transitions to READY after session release","profile file size > 300MB (upload fails - FAILED state)","Never share profiles across users (cross-tenant leak)","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0328","steel","st_profile","Profile transitions to READY after session release","profile file size <= 300MB (upload OK)","Re-login in profile when provider credentials rotate","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0329","steel","st_profile","Profile transitions to READY after session release","profile not used for 30 days (auto-deleted)","Create profile from session with persistProfile:true (snapshot on release)","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0330","steel","st_profile","Profile transitions to READY after session release","profile shared between agents (anti-pattern)","Wait for profile state == 'READY' (snapshot uploaded)","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0331","steel","st_profile","Profile transitions to READY after session release","profile contains cookies for a different user (cross-user leak)","Reuse profileId for new sessions (cookies, auth, extensions restored)","Page on-call; do not use FAILED profile (orphan state)","high","docs.steel.dev/overview/profiles-api/overview; steel.dev/blog/profiles"
"FS-0332","steel","st_proxy","Session uses useProxy:true (residential proxy network)","session.useProxy == true (residential proxy network)","Enable useProxy:true for residential proxy network (geo + rotation)","Page on-call; do not blast proxy IPs at a single target (will be banned harder)","medium","docs.steel.dev/overview/pricinglimits (proxy rates); docs.steel.dev/llms-full.txt"
"FS-0333","steel","st_proxy","Session uses useProxy:true (residential proxy network)","proxy bandwidth quota remaining (Launch $10/GB, Scale $6/GB)","Track proxy bandwidth cost ($10/GB Launch, $6/GB Scale, overage billable)","Page on-call; do not blast proxy IPs at a single target (will be banned harder)","medium","docs.steel.dev/overview/pricinglimits (proxy rates); docs.steel.dev/llms-full.txt"
"FS-0334","steel","st_proxy","Session uses useProxy:true (residential proxy network)","proxy bandwidth quota exceeded (overage billable)","Use proxy IP that's allowlisted at target (good)","Page on-call; do not blast proxy IPs at a single target (will be banned harder)","medium","docs.steel.dev/overview/pricinglimits (proxy rates); docs.steel.dev/llms-full.txt"
"FS-0335","steel","st_proxy","Session uses useProxy:true (residential proxy network)","proxy IP is allowlisted at target (good)","Rotate proxy or escalate to dedicated IP when blocked","Page on-call; do not blast proxy IPs at a single target (will be banned harder)","medium","docs.steel.dev/overview/pricinglimits (proxy rates); docs.steel.dev/llms-full.txt"
"FS-0336","steel","st_proxy","Session uses useProxy:true (residential proxy network)","proxy IP is blocked at target (rotate or escalate to dedicated IP)","Pass custom proxy URL (user:pass@host:port) for whitelisted egress","Page on-call; do not blast proxy IPs at a single target (will be banned harder)","medium","docs.steel.dev/overview/pricinglimits (proxy rates); docs.steel.dev/llms-full.txt"
"FS-0337","steel","st_proxy","Session uses useProxy:true (residential proxy network)","custom proxy URL passed (user:pass@host:port)","Allocate dedicated IP on Scale ($5/IP/month) for stable allowlisting","Page on-call; do not blast proxy IPs at a single target (will be banned harder)","medium","docs.steel.dev/overview/pricinglimits (proxy rates); docs.steel.dev/llms-full.txt"
"FS-0338","steel","st_proxy","Session uses useProxy:true (residential proxy network)","dedicated IP allocated on Scale plan ($5/IP/month)","Enable useProxy:true for residential proxy network (geo + rotation)","Page on-call; do not blast proxy IPs at a single target (will be banned harder)","medium","docs.steel.dev/overview/pricinglimits (proxy rates); docs.steel.dev/llms-full.txt"
"FS-0339","steel","st_proxy","Proxy bandwidth quota exceeded (Launch $10/GB, Scale $6/GB)","session.useProxy == true (residential proxy network)","Track proxy bandwidth cost ($10/GB Launch, $6/GB Scale, overage billable)","Page on-call; do not blast proxy IPs at a single target (will be banned harder)","medium","docs.steel.dev/overview/pricinglimits (proxy rates); docs.steel.dev/llms-full.txt"
"FS-0340","steel","st_proxy","Proxy bandwidth quota exceeded (Launch $10/GB, Scale $6/GB)","proxy bandwidth quota remaining (Launch $10/GB, Scale $6/GB)","Use proxy IP that's allowlisted at target (good)","Page on-call; do not blast proxy IPs at a single target (will be banned harder)","medium","docs.steel.dev/overview/pricinglimits (proxy rates); docs.steel.dev/llms-full.txt"
